SDSS,RA,DEC,z,u,e_u,g,e_g,r,e_r,i,e_i,z_psf,e_z,A_u,logNH,F20cm,SN_F20cm,sep_FIRST,fR0,fR1,logX,SN_X,sep_X,J,e_J,H,e_H,K,e_K,sep_2MASS,M_i,D_gi,Morph,S,mode,utf,Tflag,Lz,Hz,fR,fX,fS,f*,fG,run,MJD_img,MJD_spec,plate,fiber,rerun,camcol,field,obj,Tflag_T,LzT,HzT,fRT,fXT,fST,f*T,fGT,u_PSF,e_u_PSF,g_PSF,e_g_PSF,r_PSF,e_r_PSF,i_PSF,e_i_PSF,z_PSF,e_z_PSF,72,73,74,75,76,77,g_minus_r,classification
120535.05+373136.3,181.396083,37.526774,1.169,19.181,0.029,19.095,0.034,18.796,0.02,18.769,0.025,18.977,0.054,0.101,20.26,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.371,0.038,0,1,1,1,2,1,0,0,0,0,0,0,4392,53035,53467,2103,571,40,4,214,20,2,1,0,0,0,0,0,0,19.181,0.029,19.095,0.034,18.795,0.02,18.769,0.025,18.977,0.054,592171517433872384,,,,,,0.2989999999999995,quasar
120536.54+465229.7,181.402263,46.874922,1.6475,20.134,0.044,19.766,0.02,19.506,0.021,19.144,0.021,19.065,0.052,0.088,20.228,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.803,0.357,0,1,1,1,34603008,0,0,0,0,1,0,0,3530,52621,53116,1449,185,42,2,370,162,1048579,1,1,0,0,1,0,0,20.134,0.044,19.767,0.019,19.502,0.021,19.135,0.022,19.065,0.052,408085373512581120,,,,,,0.259999999999998,quasar
120537.04+474705.3,181.404347,47.784814,1.9729,19.01,0.027,18.839,0.02,18.631,0.015,18.453,0.018,18.285,0.032,0.094,20.292,13.998,68.722,0.15,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.915,0.187,0,1,1,1,3145738,1,0,1,0,1,0,0,3530,52621,53116,1449,462,42,4,371,17,3145738,1,0,1,0,1,0,0,19.013,0.026,18.859,0.024,18.63,0.015,18.448,0.02,18.288,0.033,408085374674403328,,,,,,0.2079999999999984,quasar
120538.08+130230.0,181.408677,13.041668,0.4974,20.017,0.043,19.38,0.033,19.332,0.026,19.021,0.025,18.746,0.043,0.126,20.371,0.0,0.0,0.0,1,0,-9.0,0.0,0.0,17.349,0.234,16.205,0.197,15.688,0.185,0.662,-23.058,0.211,1,1,1,1,2,1,0,0,0,0,0,0,3804,52721,53147,1611,508,41,5,158,104,2,1,0,0,0,0,0,0,20.017,0.043,19.38,0.033,19.332,0.026,19.021,0.025,18.746,0.043,453684454238453760,,,,,,0.047999999999998266,quasar
120538.31+582851.4,181.409653,58.480969,1.3282,19.006,0.03,18.857,0.032,18.385,0.031,18.364,0.023,18.404,0.034,0.087,20.182,0.0,0.0,0.0,1,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.075,0.215,0,1,1,1,2,1,0,0,0,0,0,0,3712,52708,53050,1314,413,40,6,76,47,2,1,0,0,0,0,0,0,19.018,0.028,18.833,0.046,18.399,0.026,18.395,0.032,18.411,0.037,370085969145102336,,,,,,0.47199999999999775,quasar
120538.77+412945.0,181.411561,41.49584,1.6042,19.57,0.029,19.253,0.02,19.168,0.019,18.935,0.022,19.103,0.042,0.07,20.179,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.943,0.04,0,1,1,1,3,1,1,0,0,0,0,0,3893,52754,53120,1448,124,41,1,157,86,3,1,1,0,0,0,0,0,19.564,0.029,19.26,0.021,19.173,0.018,18.937,0.02,19.105,0.042,407803915459887104,,,,,,0.08500000000000085,quasar
120538.91+584636.4,181.412149,58.776799,1.0159,19.353,0.057,19.142,0.068,18.802,0.081,18.84,0.113,18.89,0.06,0.089,20.188,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.958,0.157,0,1,1,1,0,0,0,0,0,0,0,0,2243,52014,52405,954,122,40,1,325,3,2,1,0,0,0,0,0,0,19.297,0.036,19.153,0.011,18.864,0.02,18.896,0.021,18.882,0.044,268752206054817792,,,,,,0.33999999999999986,quasar
120539.48+104555.9,181.414512,10.765552,1.7786,19.263,0.043,18.984,0.021,18.977,0.031,18.832,0.021,18.824,0.051,0.121,20.27,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.307,-0.106,0,1,1,1,1048578,1,0,0,0,1,0,0,3525,52619,52723,1229,321,40,5,176,89,1048578,1,0,0,0,1,0,0,19.216,0.071,18.999,0.025,18.966,0.031,18.839,0.022,18.842,0.05,346159191284514816,,,,,,0.0070000000000014495,quasar
120540.08+114853.4,181.417014,11.814853,1.3751,19.163,0.03,19.007,0.029,18.837,0.015,18.877,0.019,19.082,0.055,0.199,20.314,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.69,-0.177,0,1,1,1,2,1,0,0,0,0,0,0,3804,52721,53147,1611,95,41,2,158,27,2,1,0,0,0,0,0,0,19.163,0.03,19.006,0.029,18.837,0.015,18.877,0.019,19.082,0.055,453684452506206208,,,,,,0.1700000000000017,quasar
120540.14+094701.4,181.417287,9.783735,2.0656,19.187,0.036,18.855,0.03,18.739,0.04,18.684,0.062,18.346,0.042,0.104,20.22,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.793,0.008,0,1,1,1,2,1,0,0,0,0,0,0,3525,52619,52728,1228,32,40,3,176,20,3,1,1,0,0,0,0,0,19.152,0.031,18.888,0.03,18.792,0.043,18.87,0.069,18.388,0.038,345877736570486784,,,,,,0.11599999999999966,quasar
120540.29+384636.8,181.417915,38.776914,0.3066,18.334,0.024,18.308,0.016,18.212,0.02,18.195,0.016,17.562,0.025,0.105,20.294,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.929,0.155,16.399,0.22,15.827,0.208,0.418,-22.712,-0.158,0,1,1,1,3,1,1,0,0,0,0,0,3900,52755,53473,2108,483,41,1,356,60,3,1,1,0,0,0,0,0,18.334,0.024,18.308,0.016,18.212,0.02,18.195,0.016,17.562,0.025,593578917718130688,,,,,,0.09600000000000009,quasar
120541.35+393732.1,181.422299,39.625598,2.5406,21.181,0.117,20.529,0.028,19.407,0.027,19.002,0.031,18.683,0.041,0.168,20.32,15.302,20.073,0.656,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.97,1.482,0,1,1,1,8,0,0,1,0,0,0,0,3900,52755,53401,1976,12,41,3,356,113,8,0,0,1,0,0,0,0,21.182,0.117,20.529,0.028,19.407,0.027,19.002,0.031,18.683,0.041,556423909579161600,,,,,,1.1219999999999999,non-quasar
120542.69+363101.8,181.427891,36.517187,1.6055,19.183,0.026,18.966,0.031,18.904,0.024,18.661,0.02,18.728,0.033,0.128,20.255,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.242,0.008,0,1,1,1,2,1,0,0,0,0,0,0,4504,53080,53472,2105,344,40,1,152,63,2,1,0,0,0,0,0,0,19.183,0.026,18.966,0.031,18.904,0.024,18.66,0.02,18.728,0.033,592734487910023168,,,,,,0.062000000000001165,quasar
120543.17+335046.1,181.429905,33.846152,0.6197,19.295,0.03,19.022,0.025,19.147,0.019,19.103,0.023,19.202,0.048,0.073,20.173,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.489,-0.202,0,1,1,1,2,1,0,0,0,0,0,0,4576,53111,53498,2089,186,40,1,428,37,2,1,0,0,0,0,0,0,19.295,0.03,19.023,0.025,19.146,0.019,19.103,0.023,19.202,0.048,588230999289102336,,,,,,-0.125,quasar
120544.68+342252.4,181.436181,34.381227,2.0709,18.472,0.018,18.331,0.018,18.207,0.022,18.105,0.021,17.992,0.026,0.079,20.199,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.368,0.079,0,1,1,1,1048578,1,0,0,0,1,0,0,4552,53108,53498,2089,427,40,2,81,25,1048578,1,0,0,0,1,0,0,18.472,0.018,18.331,0.018,18.207,0.022,18.104,0.021,17.993,0.026,588231000299929600,,,,,,0.12399999999999878,quasar
120545.25+621523.7,181.438549,62.256584,1.583,19.449,0.033,19.225,0.016,19.135,0.018,18.944,0.02,18.951,0.059,0.098,20.305,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.914,-0.021,0,1,1,1,1048578,1,0,0,0,1,0,0,2304,52047,52342,779,302,41,3,186,160,1048579,1,1,0,0,1,0,0,19.446,0.032,19.07,0.01,19.182,0.015,18.961,0.016,18.962,0.059,219493815302488064,,,,,,0.08999999999999986,quasar
120545.42+053634.5,181.439271,5.609605,1.2907,18.987,0.029,19.0,0.015,18.793,0.019,18.833,0.03,18.918,0.053,0.105,20.158,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.545,-0.127,0,1,1,1,2,1,0,0,0,0,0,0,2247,52015,52376,842,411,41,5,138,19,2,1,0,0,0,0,0,0,18.974,0.042,18.987,0.016,18.798,0.013,18.852,0.017,18.948,0.048,237226885321326592,,,,,,0.20700000000000074,quasar
120545.92+121821.7,181.441352,12.306055,0.3265,18.927,0.025,18.817,0.024,18.603,0.017,18.478,0.019,18.068,0.026,0.136,20.338,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.592,0.027,1,1,1,1,2,1,0,0,0,0,0,0,3836,52729,53147,1611,175,41,3,218,16,2,1,0,0,0,0,0,0,18.926,0.025,18.817,0.024,18.603,0.017,18.478,0.019,18.067,0.026,453684452841750528,,,,,,0.21399999999999864,quasar
120546.58+430434.5,181.444117,43.076274,0.5766,19.342,0.029,18.924,0.02,19.026,0.019,18.992,0.022,18.877,0.034,0.072,20.121,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.424,-0.157,0,1,1,1,2,1,0,0,0,0,0,0,3893,52754,53120,1448,517,41,5,158,28,2,1,0,0,0,0,0,0,19.364,0.042,18.927,0.02,19.027,0.024,18.947,0.032,18.899,0.033,407803917108248576,,,,,,-0.10200000000000031,quasar
120548.15+584814.4,181.450648,58.804001,0.2765,18.982,0.054,18.713,0.068,18.229,0.081,17.998,0.113,17.669,0.048,0.09,20.188,0.0,0.0,0.0,0,0,-1.043,5.073,14.38,16.316,0.118,15.333,0.107,14.542,0.095,0.234,-22.658,0.407,1,1,1,1,5184,0,0,0,1,0,0,1,2243,52014,52405,954,126,40,1,325,4,5186,1,0,0,1,0,0,1,18.924,0.032,18.769,0.009,18.291,0.019,18.035,0.018,17.667,0.026,268752206071595008,,,,,,0.48400000000000176,quasar
120548.35+524306.7,181.451487,52.718545,1.5989,18.521,0.03,18.247,0.034,18.17,0.012,17.998,0.027,17.957,0.027,0.108,20.215,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.887,-0.043,0,1,1,1,1048578,1,0,0,0,1,0,0,2883,52287,52370,882,583,40,4,187,47,1048578,1,0,0,0,1,0,0,18.503,0.016,18.231,0.012,18.184,0.012,17.985,0.008,17.982,0.026,248485859341369344,,,,,,0.07699999999999818,quasar
120548.95+353800.0,181.453966,35.633351,2.9679,22.503,0.287,20.307,0.029,19.982,0.021,19.911,0.032,19.64,0.069,0.097,20.248,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.378,0.164,0,1,1,1,1,0,1,0,0,0,0,0,4552,53108,53467,2103,65,40,5,81,122,1,0,1,0,0,0,0,0,22.503,0.287,20.307,0.028,19.982,0.021,19.911,0.032,19.64,0.069,592171515311554560,,,,,,0.3249999999999993,quasar
120549.05+395506.9,181.45441,39.918607,2.4585,19.754,0.039,19.171,0.025,19.119,0.016,19.113,0.018,18.926,0.04,0.14,20.31,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.774,0.028,0,1,1,1,1048578,1,0,0,0,1,0,0,4469,53052,53401,1976,62,40,3,430,50,1048578,1,0,0,0,1,0,0,19.754,0.039,19.171,0.025,19.119,0.016,19.113,0.018,18.927,0.04,556423909788876800,,,,,,0.0519999999999996,quasar
120550.34+125320.4,181.459751,12.889024,1.7991,18.273,0.023,18.09,0.028,18.12,0.019,17.844,0.016,17.877,0.033,0.132,20.364,0.0,0.0,0.0,1,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.326,-0.051,0,1,1,1,1048579,1,1,0,0,1,0,0,3836,52729,53147,1611,506,41,4,218,16,1048579,1,1,0,0,1,0,0,18.273,0.023,18.09,0.028,18.12,0.019,17.843,0.016,17.877,0.033,453684454230065152,,,,,,-0.030000000000001137,quasar
120550.82+470153.1,181.461772,47.031439,0.8502,18.452,0.038,18.109,0.024,17.966,0.022,18.015,0.021,17.811,0.025,0.091,20.238,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.564,0.105,16.254,0.159,15.631,0.183,0.404,-25.353,0.087,0,1,1,1,2,1,0,0,0,0,0,0,3698,52704,53116,1449,178,41,3,153,96,2,1,0,0,0,0,0,0,18.429,0.03,18.114,0.016,17.97,0.024,18.013,0.022,17.823,0.027,408085373483220992,,,,,,0.14300000000000068,quasar
120551.18+382841.6,181.463261,38.478226,0.9455,19.51,0.033,19.169,0.018,18.909,0.016,18.93,0.019,18.734,0.04,0.102,20.286,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.7,0.143,0,1,1,1,1048578,1,0,0,0,1,0,0,4392,53035,53473,2108,482,40,6,215,7,1048578,1,0,0,0,1,0,0,19.51,0.033,19.169,0.018,18.909,0.016,18.93,0.019,18.734,0.04,593578917713936384,,,,,,0.26000000000000156,quasar
120551.50+500609.9,181.464617,50.102765,3.4414,24.071,1.314,20.843,0.041,20.196,0.033,19.934,0.04,20.133,0.146,0.092,20.305,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.677,0.097,0,1,1,1,1,0,1,0,0,0,0,0,3059,52354,52442,969,517,42,4,138,246,1,0,1,0,0,0,0,0,23.759,1.126,20.84,0.032,20.197,0.027,19.927,0.043,20.11,0.148,272974491276017664,,,,,,0.6469999999999985,non-quasar
120552.07+113720.1,181.466991,11.622276,1.2789,19.209,0.045,19.25,0.041,18.994,0.023,18.939,0.021,18.942,0.04,0.167,20.305,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.443,0.012,0,1,1,1,2,1,0,0,0,0,0,0,3836,52729,53147,1611,94,41,1,218,17,2,1,0,0,0,0,0,0,19.209,0.045,19.25,0.041,18.994,0.023,18.938,0.021,18.942,0.04,453684452502011904,,,,,,0.2560000000000002,quasar
120553.38+631405.9,181.472443,63.234978,0.8799,19.112,0.031,18.834,0.016,18.728,0.019,18.811,0.02,18.796,0.049,0.098,20.294,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.643,-0.004,0,1,1,1,2,1,0,0,0,0,0,0,2304,52047,52342,779,332,41,5,187,39,2,1,0,0,0,0,0,0,19.022,0.022,18.824,0.012,18.736,0.01,18.785,0.034,18.757,0.047,219493815428317184,,,,,,0.1059999999999981,quasar
120554.32+531648.6,181.476348,53.280186,1.7888,20.307,0.048,19.773,0.047,19.477,0.019,19.082,0.023,19.0,0.045,0.101,20.188,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.062,0.428,0,1,1,1,3,1,1,0,0,0,0,0,2883,52287,52430,883,335,40,5,187,120,3,1,1,0,0,0,0,0,20.297,0.043,19.724,0.013,19.479,0.017,19.074,0.018,19.028,0.043,248767590975930368,,,,,,0.2959999999999994,quasar
120554.53+510042.9,181.477215,51.011927,0.697,18.054,0.023,17.775,0.025,17.729,0.013,17.685,0.013,17.646,0.021,0.093,20.279,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,17.012,0.204,16.358,0.27,15.296,0.165,0.855,-25.201,0.073,0,1,1,1,2,1,0,0,0,0,0,0,2964,52313,52442,969,442,40,6,307,24,2,1,0,0,0,0,0,0,18.265,0.013,17.716,0.016,17.711,0.01,17.678,0.017,17.648,0.018,272974490961444864,,,,,,0.045999999999999375,quasar
120554.84+494236.2,181.478515,49.710078,1.6643,19.246,0.036,19.116,0.023,19.048,0.08,18.854,0.023,18.87,0.042,0.122,20.316,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.131,0.009,0,1,1,1,1048578,1,0,0,0,1,0,0,3059,52354,52442,969,180,42,3,138,43,1048578,1,0,0,0,1,0,0,19.188,0.028,19.07,0.013,19.072,0.026,18.845,0.03,18.84,0.042,272974489862537216,,,,,,0.06800000000000139,quasar
120555.35+424149.5,181.480629,42.697085,0.3754,19.76,0.035,19.627,0.023,19.283,0.022,19.104,0.022,18.782,0.039,0.061,20.13,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,17.454,0.233,16.501,0.197,15.562,0.163,0.426,-22.27,0.306,1,1,1,1,2,1,0,0,0,0,0,0,3893,52754,53120,1448,502,41,4,158,8,2,1,0,0,0,0,0,0,19.763,0.036,19.616,0.025,19.257,0.031,19.1,0.021,18.793,0.04,407803917045334016,,,,,,0.34399999999999764,quasar
120556.08+104253.8,181.4837,10.71497,1.0884,17.176,0.034,17.066,0.017,16.834,0.023,16.846,0.021,16.938,0.017,0.121,20.265,10.377,999.99,0.399,0,0,-9.0,0.0,0.0,15.852,0.089,15.186,0.085,14.749,0.128,0.218,-27.131,0.005,0,1,1,1,2097162,1,0,1,0,1,0,0,3525,52619,52723,1229,338,40,5,177,31,2097162,1,0,1,0,1,0,0,17.212,0.03,17.071,0.018,16.845,0.024,16.843,0.023,16.944,0.016,346159191355817984,,,,,,0.23199999999999932,quasar
120601.53+545226.3,181.506381,54.873981,0.5836,19.679,0.043,19.219,0.031,19.086,0.025,18.955,0.028,18.804,0.048,0.079,20.124,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.493,0.169,0,1,1,1,2,1,0,0,0,0,0,0,2821,52261,52672,1018,156,40,3,189,104,2,1,0,0,0,0,0,0,19.698,0.036,19.211,0.015,19.087,0.017,18.94,0.018,18.814,0.044,286767751463174144,,,,,,0.13300000000000267,quasar
120602.22+385701.1,181.509277,38.950309,1.5341,19.612,0.036,19.419,0.023,19.349,0.018,19.088,0.021,19.018,0.044,0.112,20.301,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.702,0.014,0,1,1,1,1048579,1,1,0,0,1,0,0,4469,53052,53473,2108,489,40,1,430,63,1048579,1,1,0,0,1,0,0,19.611,0.036,19.418,0.023,19.349,0.018,19.087,0.021,19.018,0.044,593578917743296512,,,,,,0.07000000000000028,quasar
120603.58+054217.7,181.514936,5.70493,1.2479,18.005,0.035,18.037,0.017,17.881,0.012,17.934,0.012,18.091,0.023,0.097,20.155,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.361,-0.203,0,1,1,1,2,1,0,0,0,0,0,0,2126,51960,52376,842,409,41,5,416,18,2,1,0,0,0,0,0,0,17.992,0.015,18.039,0.014,17.892,0.009,17.955,0.012,18.08,0.019,237226885312937984,,,,,,0.1559999999999988,quasar
120603.90+424000.0,181.516272,42.666675,0.9534,19.066,0.025,18.789,0.019,18.571,0.016,18.606,0.019,18.63,0.035,0.061,20.13,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.027,0.089,0,1,1,1,2,1,0,0,0,0,0,0,3893,52754,53120,1448,519,41,4,158,23,1048578,1,0,0,0,1,0,0,19.068,0.025,18.779,0.022,18.57,0.027,18.61,0.017,18.64,0.036,407803917116637184,,,,,,0.21799999999999997,quasar
120604.04+345459.1,181.516839,34.916443,1.5492,19.405,0.029,19.089,0.021,19.057,0.024,18.935,0.021,18.89,0.044,0.103,20.217,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.874,-0.148,0,1,1,1,1048578,1,0,0,0,1,0,0,4552,53108,53498,2089,380,40,3,81,77,1048578,1,0,0,0,1,0,0,19.405,0.029,19.089,0.021,19.057,0.024,18.935,0.021,18.89,0.044,588231000102797312,,,,,,0.03200000000000003,quasar
120605.17+353825.0,181.521559,35.64029,0.2867,19.698,0.033,19.525,0.018,18.791,0.021,18.662,0.018,18.096,0.029,0.093,20.246,0.0,0.0,0.0,1,0,-9.0,0.0,0.0,16.697,0.153,16.139,0.211,15.114,0.144,0.396,-22.081,0.573,1,1,1,1,2,1,0,0,0,0,0,0,4552,53108,53467,2103,61,40,5,82,8,2,1,0,0,0,0,0,0,19.698,0.033,19.525,0.018,18.79,0.021,18.662,0.018,18.096,0.029,592171515294777344,,,,,,0.7339999999999982,non-quasar
120605.18+344932.1,181.521621,34.825585,1.6603,18.991,0.023,18.891,0.02,18.84,0.023,18.588,0.02,18.614,0.037,0.1,20.215,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.382,0.063,0,1,1,1,1048579,1,1,0,0,1,0,0,4552,53108,53498,2089,415,40,3,81,78,1048579,1,1,0,0,1,0,0,18.992,0.023,18.891,0.02,18.841,0.023,18.588,0.02,18.614,0.037,588231000249597952,,,,,,0.05099999999999838,quasar
120609.41+041602.2,181.539221,4.267291,1.839,20.068,0.059,19.869,0.034,19.593,0.024,18.995,0.033,18.857,0.041,0.098,20.21,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.212,0.602,0,1,1,1,0,0,0,0,0,0,0,0,2247,52015,52376,842,146,41,2,139,139,2,1,0,0,0,0,0,0,19.983,0.049,19.859,0.021,19.577,0.027,19.011,0.026,18.833,0.04,237226884209836032,,,,,,0.2759999999999998,quasar
120609.50+092508.4,181.539586,9.419001,0.2718,19.82,0.05,19.218,0.018,18.57,0.018,18.333,0.019,18.007,0.029,0.098,20.204,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.779,0.185,15.635,0.134,14.884,0.14,0.149,-22.285,0.567,1,1,1,1,2,1,0,0,0,0,0,0,3525,52619,52723,1229,280,40,2,177,89,2,1,0,0,0,0,0,0,19.848,0.049,19.196,0.018,18.591,0.034,18.351,0.023,18.009,0.03,346159191112548352,,,,,,0.6479999999999997,non-quasar
120610.60+371747.6,181.544185,37.296566,4.3173,25.485,0.768,21.367,0.045,19.649,0.03,19.374,0.022,19.394,0.058,0.13,20.262,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.74,-0.387,0,1,1,1,1,0,1,0,0,0,0,0,4504,53080,53467,2103,607,40,3,153,196,1,0,1,0,0,0,0,0,25.485,0.768,21.367,0.045,19.649,0.03,19.374,0.022,19.395,0.058,592171517584867328,,,,,,1.718,non-quasar
120610.96+122359.8,181.545681,12.39995,1.717,19.042,0.027,18.922,0.024,18.898,0.018,18.716,0.019,18.649,0.034,0.127,20.342,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.343,-0.071,0,1,1,1,2,1,0,0,0,0,0,0,3836,52729,53147,1611,156,41,3,218,72,2,1,0,0,0,0,0,0,19.041,0.027,18.922,0.024,18.898,0.018,18.716,0.019,18.649,0.034,453684452762058752,,,,,,0.02400000000000091,quasar
120611.15+495700.3,181.546483,49.950084,0.7845,18.973,0.033,18.811,0.027,18.929,0.024,19.078,0.031,19.025,0.058,0.135,20.31,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.113,-0.246,0,1,1,1,2,1,0,0,0,0,0,0,3059,52354,52442,969,160,42,4,138,27,2,1,0,0,0,0,0,0,18.882,0.023,18.767,0.009,18.917,0.012,18.902,0.036,18.958,0.057,272974489778651136,,,,,,-0.11799999999999855,quasar
120611.23+581308.0,181.546832,58.218898,1.1844,17.365,0.017,16.952,0.048,16.9,0.016,16.961,0.033,17.016,0.027,0.091,20.173,0.0,0.0,0.0,1,0,-9.0,0.0,0.0,16.305,0.089,15.98,0.175,15.622,0.203,0.192,-27.207,-0.269,0,1,1,1,2,1,0,0,0,0,0,0,2826,52262,53050,1314,420,40,5,282,75,2,1,0,0,0,0,0,0,17.379,0.016,16.943,0.036,16.896,0.018,16.953,0.022,17.033,0.028,370085969174462464,,,,,,0.052000000000003155,quasar
120611.29+464532.5,181.547064,46.759055,3.8772,25.714,0.74,20.959,0.034,19.935,0.023,19.709,0.026,19.483,0.059,0.076,20.212,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.154,-0.105,0,1,1,1,1,0,1,0,0,0,0,0,3698,52704,53116,1449,138,41,2,154,94,1,0,1,0,0,0,0,0,25.737,0.729,20.985,0.034,19.937,0.024,19.697,0.027,19.484,0.06,408085373315448832,,,,,,1.024000000000001,non-quasar
120612.33+542906.0,181.551375,54.48502,3.1998,23.292,0.779,19.85,0.026,19.528,0.026,19.466,0.035,19.446,0.075,0.072,20.14,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.978,0.016,0,1,1,1,33554433,0,1,0,0,0,0,0,2821,52261,52672,1018,145,40,2,189,153,33554433,0,1,0,0,0,0,0,23.224,0.742,19.846,0.029,19.55,0.032,19.456,0.034,19.456,0.068,286767751417036800,,,,,,0.32200000000000273,quasar
120612.36+130241.0,181.551535,13.044735,1.8685,19.995,0.049,19.499,0.04,18.972,0.016,18.63,0.018,18.566,0.036,0.131,20.371,0.0,0.0,0.0,1,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.627,0.572,0,1,1,1,2,1,0,0,0,0,0,0,3804,52721,53147,1611,501,41,5,159,147,2,1,0,0,0,0,0,0,19.994,0.049,19.499,0.04,18.972,0.016,18.629,0.018,18.566,0.035,453684454209093632,,,,,,0.5269999999999975,non-quasar
120613.56+535739.3,181.55654,53.960938,1.2292,18.929,0.027,18.74,0.023,18.464,0.02,18.547,0.033,18.61,0.036,0.086,20.158,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.707,-0.089,0,1,1,1,1048578,1,0,0,0,1,0,0,2821,52261,52672,1018,87,40,1,189,82,1048578,1,0,0,0,1,0,0,18.869,0.022,18.752,0.008,18.459,0.015,18.475,0.022,18.59,0.037,286767751173767168,,,,,,0.2759999999999998,quasar
