SDSS,RA,DEC,z,u,e_u,g,e_g,r,e_r,i,e_i,z_psf,e_z,A_u,logNH,F20cm,SN_F20cm,sep_FIRST,fR0,fR1,logX,SN_X,sep_X,J,e_J,H,e_H,K,e_K,sep_2MASS,M_i,D_gi,Morph,S,mode,utf,Tflag,Lz,Hz,fR,fX,fS,f*,fG,run,MJD_img,MJD_spec,plate,fiber,rerun,camcol,field,obj,Tflag_T,LzT,HzT,fRT,fXT,fST,f*T,fGT,u_PSF,e_u_PSF,g_PSF,e_g_PSF,r_PSF,e_r_PSF,i_PSF,e_i_PSF,z_PSF,e_z_PSF,72,73,74,75,76,77,g_minus_r,classification
103618.10+064303.1,159.075417,6.717551,0.7989,19.107,0.027,18.904,0.019,18.919,0.02,18.984,0.019,18.861,0.037,0.153,20.453,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.258,-0.06,0,1,1,1,2,1,0,0,0,0,0,0,3015,52338,52643,1000,314,40,3,300,93,2,1,0,0,0,0,0,0,19.131,0.021,18.888,0.018,18.918,0.016,19.001,0.017,18.856,0.035,281701077991030784,,,,,,-0.015000000000000568,quasar
103619.39+504319.1,159.080794,50.721973,2.0807,18.579,0.033,18.563,0.047,18.387,0.019,18.255,0.019,17.979,0.029,0.106,20.083,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.239,0.137,0,1,1,1,3,1,1,0,0,0,0,0,2883,52287,52354,875,413,40,6,94,15,1048579,1,1,0,0,1,0,0,18.614,0.017,18.494,0.015,18.4,0.011,18.244,0.01,18.034,0.02,246515465071886336,,,,,,0.17599999999999838,quasar
103619.59+353003.8,159.081633,35.501073,1.2866,18.694,0.021,18.646,0.022,18.476,0.012,18.506,0.015,18.662,0.037,0.111,20.243,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.867,-0.151,0,1,1,1,1048578,1,0,0,0,1,0,0,4392,53035,53446,2096,467,40,6,94,16,1048578,1,0,0,0,1,0,0,18.694,0.021,18.646,0.022,18.476,0.012,18.506,0.015,18.662,0.037,590201101966376960,,,,,,0.1700000000000017,quasar
103620.39+374731.5,159.084981,37.792097,1.2842,19.139,0.038,19.041,0.015,18.715,0.017,18.591,0.015,18.576,0.03,0.094,20.193,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.771,0.169,0,1,1,1,2,1,0,0,0,0,0,0,4469,53052,53433,1998,347,40,5,313,64,2,1,0,0,0,0,0,0,19.139,0.038,19.041,0.015,18.715,0.017,18.591,0.015,18.576,0.03,562616497910841344,,,,,,0.3260000000000005,quasar
103620.58+121734.8,159.085769,12.29301,0.1892,17.082,0.031,17.045,0.023,16.862,0.015,16.405,0.02,16.425,0.019,0.143,20.498,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,14.988,0.049,14.298,0.069,13.43,0.045,0.137,-23.381,0.022,1,1,1,1,66,1,0,0,0,0,0,1,3538,52622,53090,1600,363,40,6,275,90,66,1,0,0,0,0,0,1,17.081,0.031,17.044,0.023,16.862,0.015,16.405,0.02,16.425,0.019,450587984073326592,,,,,,0.18300000000000338,quasar
103621.60+393701.6,159.090011,39.617129,0.7997,17.752,0.018,17.135,0.025,17.008,0.014,16.982,0.016,16.847,0.019,0.061,20.17,0.0,0.0,0.0,1,1,-9.0,0.0,0.0,15.774,0.066,15.608,0.116,15.104,0.112,0.218,-26.225,0.204,0,1,1,1,2,1,0,0,0,0,0,0,3704,52705,53002,1430,555,40,4,171,64,2,1,0,0,0,0,0,0,17.752,0.018,17.135,0.025,17.008,0.014,16.983,0.016,16.847,0.019,402736860880699392,,,,,,0.12700000000000244,quasar
103622.88+423044.2,159.095336,42.512286,1.5528,19.471,0.043,18.999,0.028,18.857,0.027,18.646,0.045,18.711,0.04,0.068,20.053,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.154,0.067,0,1,1,1,2,1,0,0,0,0,0,0,3818,52724,53033,1360,617,41,5,43,105,2,1,0,0,0,0,0,0,19.465,0.045,18.999,0.039,18.88,0.024,18.612,0.051,18.702,0.047,383033745914986496,,,,,,0.14199999999999946,quasar
103623.13+622849.1,159.096377,62.480315,0.5947,18.856,0.024,18.568,0.026,18.603,0.017,18.442,0.017,18.458,0.037,0.057,19.964,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.043,0.035,0,1,1,1,1048578,1,0,0,0,1,0,0,1345,51639,52376,773,279,41,3,284,96,1048579,1,1,0,0,1,0,0,18.851,0.019,18.586,0.013,18.609,0.012,18.423,0.011,18.435,0.037,217805111374643200,,,,,,-0.03500000000000014,quasar
103624.23+493718.2,159.100978,49.621732,0.7253,19.117,0.026,18.738,0.019,18.687,0.029,18.689,0.02,18.596,0.039,0.063,20.093,0.0,0.0,0.0,1,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.282,0.075,0,1,1,1,2,1,0,0,0,0,0,0,2830,52263,52354,875,182,41,4,310,94,2,1,0,0,0,0,0,0,19.067,0.026,18.726,0.02,18.71,0.011,18.69,0.023,18.61,0.036,246515464103002112,,,,,,0.05099999999999838,quasar
103625.70+500407.6,159.107112,50.068781,2.1576,19.338,0.03,19.023,0.016,18.919,0.019,18.838,0.019,18.644,0.03,0.067,20.086,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.723,0.049,0,1,1,1,1048578,1,0,0,0,1,0,0,2830,52263,52354,875,471,41,5,311,56,1048578,1,0,0,0,1,0,0,19.315,0.023,18.998,0.012,18.911,0.015,18.845,0.019,18.658,0.037,246515465315155968,,,,,,0.1039999999999992,quasar
103626.57+493316.2,159.11073,49.554515,0.5038,19.17,0.027,18.996,0.02,19.188,0.03,18.967,0.021,18.911,0.048,0.061,20.097,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.117,-0.09,0,1,1,1,1048579,1,1,0,0,1,0,0,2830,52263,52354,875,196,41,4,310,92,2,1,0,0,0,0,0,0,19.186,0.027,18.994,0.02,19.246,0.013,19.026,0.024,18.888,0.045,246515464161722368,,,,,,-0.19200000000000017,quasar
103626.68+062257.3,159.111197,6.382584,0.8097,20.41,0.05,19.607,0.02,19.034,0.017,18.726,0.018,18.25,0.026,0.153,20.453,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.496,0.143,16.076,0.1,15.45,0.236,0.525,-24.549,0.882,0,1,1,1,1,0,1,0,0,0,0,0,2986,52318,52636,999,71,40,3,270,250,1,0,1,0,0,0,0,0,20.401,0.049,19.613,0.027,19.045,0.01,18.753,0.011,18.266,0.024,281419571930333184,,,,,,0.5730000000000004,non-quasar
103626.88+132651.7,159.112032,13.447712,3.096,19.174,0.028,18.121,0.013,17.876,0.013,17.764,0.028,17.727,0.025,0.181,20.526,12.096,368.392,0.249,0,1,-9.0,0.0,0.0,16.694,0.133,16.951,0.1,15.321,0.177,0.271,-28.652,0.03,0,1,1,1,2097160,0,0,1,0,1,0,0,4344,52998,53112,1748,475,40,3,135,46,2097160,0,0,1,0,1,0,0,19.173,0.028,18.121,0.013,17.877,0.013,17.764,0.028,17.727,0.025,492246375585546240,,,,,,0.24499999999999744,quasar
103627.88+130655.2,159.116181,13.115346,0.6876,19.356,0.03,18.955,0.02,18.967,0.023,18.858,0.022,18.753,0.038,0.146,20.517,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.016,0.078,0,1,1,1,2,1,0,0,0,0,0,0,4344,52998,53112,1748,182,40,2,134,88,2,1,0,0,0,0,0,0,19.356,0.03,18.955,0.02,18.968,0.023,18.857,0.022,18.753,0.038,492246374356615168,,,,,,-0.012000000000000455,quasar
103628.20+501157.9,159.117515,50.199431,2.01,19.288,0.03,18.765,0.017,18.439,0.016,18.294,0.017,18.15,0.023,0.06,20.086,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.103,0.28,0,1,1,1,1048578,1,0,0,0,1,0,0,2830,52263,52354,875,478,41,5,312,26,1048578,1,0,0,0,1,0,0,19.171,0.058,18.741,0.009,18.463,0.025,18.308,0.012,18.165,0.031,246515465344516096,,,,,,0.3260000000000005,quasar
103628.62+445530.8,159.119279,44.925226,1.3185,19.373,0.027,19.261,0.028,18.999,0.016,18.967,0.019,19.219,0.051,0.092,20.09,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.457,0.005,0,1,1,1,2,1,0,0,0,0,0,0,3698,52704,52990,1429,608,41,5,49,57,2,1,0,0,0,0,0,0,19.378,0.027,19.256,0.034,18.981,0.026,18.985,0.026,19.189,0.052,402455334586679296,,,,,,0.26200000000000045,quasar
103628.88+404259.0,159.12035,40.716395,0.4326,18.844,0.024,18.581,0.023,18.472,0.016,18.381,0.02,18.267,0.025,0.062,20.114,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.994,0.171,16.253,0.207,15.307,0.149,0.238,-23.335,0.018,0,1,1,1,1048578,1,0,0,0,1,0,0,3647,52671,53003,1432,369,41,6,137,71,1048578,1,0,0,0,1,0,0,18.85,0.023,18.577,0.022,18.471,0.017,18.394,0.017,18.271,0.025,403299814348947456,,,,,,0.10899999999999821,quasar
103629.02+385120.7,159.120926,38.855776,3.4878,23.721,0.79,20.741,0.03,19.986,0.021,19.754,0.024,19.804,0.075,0.101,20.182,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.89,0.091,0,1,1,1,1,0,1,0,0,0,0,0,3647,52671,53003,1432,257,41,2,134,107,1,0,1,0,0,0,0,0,23.872,0.81,20.744,0.033,19.955,0.022,19.768,0.028,19.792,0.077,403299813879185408,,,,,,0.754999999999999,non-quasar
103629.06+615001.7,159.121109,61.833818,1.5959,18.521,0.04,18.308,0.028,18.273,0.02,17.986,0.017,18.057,0.036,0.057,19.908,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.874,0.048,0,1,1,1,1048579,1,1,0,0,1,0,0,1332,51638,52376,773,255,40,2,55,42,3,1,1,0,0,0,0,0,18.57,0.018,18.384,0.014,18.324,0.014,18.013,0.018,18.093,0.029,217805111273979904,,,,,,0.03500000000000014,quasar
103629.83+120152.2,159.124307,12.031179,2.0862,19.004,0.044,18.84,0.019,18.8,0.016,18.676,0.021,18.505,0.044,0.139,20.49,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.838,-0.014,0,1,1,1,1048578,1,0,0,0,1,0,0,3836,52729,53090,1600,380,41,5,72,63,1048578,1,0,0,0,1,0,0,19.003,0.044,18.841,0.019,18.8,0.016,18.676,0.021,18.505,0.044,450587984144629760,,,,,,0.03999999999999915,quasar
103632.72+323805.3,159.136356,32.634809,1.6168,19.699,0.04,19.48,0.019,19.322,0.017,19.057,0.017,19.106,0.058,0.097,20.26,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.85,0.148,0,1,1,1,3,1,1,0,0,0,0,0,4569,53110,53430,2019,334,40,4,311,42,3,1,1,0,0,0,0,0,19.699,0.04,19.48,0.019,19.322,0.017,19.056,0.017,19.107,0.058,568527459482337280,,,,,,0.15800000000000125,quasar
103632.90+365537.4,159.137108,36.927058,1.901,17.988,0.014,17.939,0.021,17.801,0.014,17.562,0.016,17.535,0.022,0.079,20.215,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.455,0.113,16.148,0.197,15.441,0.158,0.152,-27.714,0.141,0,1,1,1,2,1,0,0,0,0,0,0,4469,53052,53432,1973,68,40,3,312,41,2,1,0,0,0,0,0,0,17.988,0.014,17.939,0.021,17.802,0.014,17.562,0.016,17.536,0.022,555579618027896832,,,,,,0.13800000000000168,quasar
103634.77+501437.6,159.144899,50.243792,1.3372,18.891,0.022,18.607,0.02,18.247,0.016,18.167,0.016,18.244,0.024,0.058,20.086,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.276,0.162,0,1,1,1,2,1,0,0,0,0,0,0,2883,52287,52354,875,485,40,5,93,39,2,1,0,0,0,0,0,0,18.955,0.016,18.565,0.018,18.27,0.007,18.187,0.011,18.247,0.022,246515465373876224,,,,,,0.35999999999999943,quasar
103634.80+131111.5,159.145005,13.186532,1.4264,19.94,0.034,19.671,0.017,19.112,0.016,18.747,0.022,18.63,0.034,0.149,20.519,15.799,12.0,0.482,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.886,0.624,0,1,1,1,10,1,0,1,0,0,0,0,3631,52667,53112,1748,184,40,3,284,74,10,1,0,1,0,0,0,0,19.94,0.034,19.671,0.017,19.112,0.016,18.747,0.022,18.63,0.034,492246374365003776,,,,,,0.559000000000001,non-quasar
103636.43+332415.5,159.15181,33.404309,1.5334,19.624,0.039,19.401,0.022,19.173,0.021,18.929,0.02,18.977,0.05,0.097,20.253,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.854,0.161,0,1,1,1,1048578,1,0,0,0,1,0,0,4569,53110,53436,1982,482,40,6,313,82,1048578,1,0,0,0,1,0,0,19.624,0.039,19.401,0.022,19.173,0.021,18.929,0.02,18.977,0.05,558112911734603776,,,,,,0.22800000000000153,quasar
