galaxy,psp_bic,lcdm_bic,diff
WALLABY_J164107-605902,669451.3641953653,672458.9698173688,-3007.605622003437
WALLABY_J164157-622910,378455.20931989147,381194.7289770881,-2739.5196571966517
WALLABY_J164219-595904,766863.7453048137,775357.8985473699,-8494.153242556145
WALLABY_J164249-610527,172409.2689630858,174102.137401763,-1692.868438677193
WALLABY_J164508-611614,531511.5083755512,534142.3757733757,-2630.867397824535
WALLABY_J164739-570817,7296429.660095716,7298201.776317989,-1772.1162222735584
WALLABY_J164740-600851,291239.86426607386,293808.1692973069,-2568.3050312330597
WALLABY_J164749-613936,367749.1425842357,371446.81198204897,-3697.669397813268
WALLABY_J165103-600109,140816.65319282535,143250.44248723018,-2433.7892944048217
WALLABY_J165348-590530,3535958.5397625123,3539557.828571322,-3599.2888088095933
WALLABY_J165419-615311,259117.62860940766,261057.21267871026,-1939.5840693025966
WALLABY_J165644-622413,140619.95107088456,142952.52076706837,-2332.569696183811
WALLABY_J165724-595238,638265.0803595985,643672.5831004789,-5407.502740880358
WALLABY_J165804-605308,7057079.639305275,7069916.0893102195,-12836.450004944578
WALLABY_J165901-601241,1199635.7754720266,1218676.2811975875,-19040.505725560943
WALLABY_J165949-584125,178153.3891736377,180169.61302391544,-2016.2238502777473
WALLABY_J170303-614604,467082.25345005706,472801.55301961635,-5719.299569559284
WALLABY_J170915-613637,368547.21755836095,375319.6825105732,-6772.4649522122345
WALLABY_J171015-615505,284319.316464978,287723.52116471407,-3404.2046997360885
WALLABY_J171338-590621,429832.78330301045,438615.0414772028,-8782.258174192335
WALLABY_J171804-575135,4021686.2710238392,4042978.753637975,-21292.482614135835
WALLABY_J171829-602453,169915.90683598528,171889.0533242179,-1973.1464882326254
WALLABY_J172007-600928,146480.8093598608,149375.33861113302,-2894.529251272208
