galaxy,psp_bic,lcdm_bic,diff
UGC04483,221839832.1098117,221845925.88456047,-6093.774748772383
UGC04499,3513689.4621301857,3518268.5141382427,-4579.052008057013
UGC05005,1281916.6179670906,1286700.4640855894,-4783.846118498826
UGC05253,2230950.5414491054,2235127.928283142,-4177.386834036559
UGC05414,7448604.840520196,7451575.128067388,-2970.2875471925363
UGC05716,3012177.6686350387,3020129.474015974,-7951.805380935315
UGC05721,23143896.548136912,23149023.447457395,-5126.899320483208
UGC05750,7686348.07233433,7691037.769944092,-4689.697609762661
UGC05764,16395751.50337207,16399776.542803941,-4025.0394318718463
UGC05829,7928528.515627526,7935304.698270625,-6776.182643099688
UGC05918,13412320.22353234,13417814.949794281,-5494.726261941716
UGC05986,2331698.3651461517,2334976.716939266,-3278.351793114096
UGC05999,385440.03885170544,388378.1024297642,-2938.063578058791
UGC06399,2870572.9977497407,2874009.5673741307,-3436.5696243899874
UGC06446,4590383.210651845,4596902.216609452,-6519.00595760718
UGC06614,97651.78000217298,100464.55158346586,-2812.77158129288
UGC06628,1455965.4067350721,1457853.8993825938,-1888.4926475216635
UGC06667,2947131.7396752713,2950660.269777374,-3528.5301021025516
UGC06786,1137966.731948395,1141454.3853262255,-3487.6533778305165
UGC06787,1869082.7134587993,1873435.772996104,-4353.059537304798
UGC06818,4541522.238373527,4545865.87098637,-4343.632612843066
UGC06917,1105708.52697495,1108789.253921391,-3080.726946440991
UGC06923,2245789.8240508353,2247516.9380687173,-1727.1140178819187
UGC06930,713618.5748524874,717588.1591636057,-3969.584311118233
UGC06973,286032.04125852656,286637.91268994863,-605.8714314220706
UGC06983,1115255.959115042,1120847.972512579,-5592.013397537172
UGC07089,4129109.335180068,4135775.220343693,-6665.885163625237
UGC07125,2848558.0744828247,2865048.0158748664,-16489.941392041743
UGC07151,6553606.298533729,6557160.437993952,-3554.1394602227956
UGC07232,39431459.35255418,39432270.01519529,-810.662641108036
UGC07261,2521072.3072516583,2523531.4133633827,-2459.1061117243953
UGC07323,5869714.186621105,5873414.121030509,-3699.934409403242
UGC07399,2554006.4504353693,2555797.1061788006,-1790.6557434313
UGC07524,12434433.47840446,12452306.379567085,-17872.90116262436
UGC07559,29488409.886263233,29492541.772495613,-4131.886232379824
UGC07577,63842130.34232567,63845746.10361911,-3615.761293441057
UGC07603,13881965.04901065,13886010.250008855,-4045.2009982056916
UGC07608,4300278.378431005,4302299.208853158,-2020.830422152765
UGC07690,5810095.70983264,5812280.536943083,-2184.827110442333
UGC07866,20203760.041103676,20206158.38124855,-2398.3401448726654
UGC08286,5752038.245804742,5757689.0997011885,-5650.853896446526
UGC08490,8705477.673624055,8716934.809584063,-11457.135960007086
UGC08550,10554871.675664227,10560329.433443043,-5457.757778815925
UGC08699,1438244.6768466244,1441812.3318714807,-3567.655024856329
UGC08837,23496554.75003198,23504785.62509251,-8230.875060528517
UGC09037,447443.80747130903,453619.7223092506,-6175.914837941586
UGC09133,662567.5325454496,671033.0244254349,-8465.491879985319
UGC09992,3890663.938349099,3892211.9938006336,-1548.0554515346885
UGC10310,2495829.591514046,2499093.5456454335,-3263.95413138764
UGC11455,481831.2726382775,485357.6915691455,-3526.418930867978
UGC11557,4285571.948513808,4289784.238796411,-4212.290282603353
UGC11820,16257335.640642,16265845.840236956,-8510.199594955891
UGC11914,1491484.8901153863,1492679.929036619,-1195.038921232568
UGC12506,202813.68025832615,207622.3632474464,-4808.682989120251
UGC12632,4792622.860834288,4802300.587372664,-9677.726538375951
UGC12732,2535528.9458670546,2544720.2790802107,-9191.33321315609
UGCA281,175644297.0911406,175647622.6693178,-3325.578177213669
UGCA442,10173109.276807591,10178752.315767959,-5643.038960367441
UGCA444,212630858.61217394,212644490.57070634,-13631.958532392979
NGC925,17131043.625780623,17170408.837710276,-39365.21192965284
NGC2366,116350794.08752881,116416011.1237545,-65217.03622569144
NGC2403,28073384.64865349,28141729.916402616,-68345.267749127
